Title,Year,Director,Production Budget (USD),Worldwide Box Office (USD)
Following,1998,Christopher Nolan,6000,126052
Memento,2000,Christopher Nolan,9000000,25544867
Insomnia,2002,Christopher Nolan,46000000,113715521
Batman Begins,2005,Christopher Nolan,150000000,374218673
The Prestige,2006,Christopher Nolan,40000000,109676311
The Dark Knight,2008,Christopher Nolan,185000000,1004558444
Inception,2010,Christopher Nolan,160000000,836836967
The Dark Knight Rises,2012,Christopher Nolan,250000000,1084939099
Interstellar,2014,Christopher Nolan,165000000,701729206
Dunkirk,2017,Christopher Nolan,100000000,527014258
Tenet,2020,Christopher Nolan,205000000,363700000
Oppenheimer,2023,Christopher Nolan,100000000,952000000
Maelstrom,2000,Denis Villeneuve,3500000,700000
Incendies,2010,Denis Villeneuve,6500000,6900000
Prisoners,2013,Denis Villeneuve,46000000,122000000
Enemy,2013,Denis Villeneuve,8000000,3500000
Sicario,2015,Denis Villeneuve,30000000,84862972
Arrival,2016,Denis Villeneuve,47000000,203388186
Blade Runner 2049,2017,Denis Villeneuve,150000000,259239658
Dune,2021,Denis Villeneuve,165000000,401780742
Dune: Part Two,2024,Denis Villeneuve,190000000,714444358
The Pallbearer,1996,Matt Reeves,8000000,5650000
Cloverfield,2008,Matt Reeves,25000000,172387379
Let Me In,2010,Matt Reeves,20000000,27087275
Dawn of the Planet of the Apes,2014,Matt Reeves,170000000,710644566
War for the Planet of the Apes,2017,Matt Reeves,150000000,490719763
The Batman,2022,Matt Reeves,185000000,770836000
Star Wars: A New Hope,1977,Star Wars,11000000,775398007
Star Wars: The Empire Strikes Back,1980,Star Wars,18000000,549000000
Star Wars: Return of the Jedi,1983,Star Wars,32500000,475000000
Star Wars: The Phantom Menace,1999,Star Wars,115000000,1027000000
Star Wars: Attack of the Clones,2002,Star Wars,115000000,656695615
Star Wars: Revenge of the Sith,2005,Star Wars,113000000,868390560
Star Wars: The Clone Wars,2008,Star Wars,8500000,68282844
Star Wars: The Force Awakens,2015,Star Wars,245000000,2068223624
Rogue One: A Star Wars Story,2016,Star Wars,200000000,1056057273
Star Wars: The Last Jedi,2017,Star Wars,200000000,1333154070
Solo: A Star Wars Story,2018,Star Wars,275000000,393151347
Star Wars: The Rise of Skywalker,2019,Star Wars,275000000,1074144248
